name,province,area,population,ZIP_code,wiki_page
Almeida,Oriente,57.98,1699,153020,https://es.wikipedia.org/wiki/Almeida_(Boyac%C3%A1)
Aquitania,Sugamuxi,828,15060,152420,https://es.wikipedia.org/wiki/Aquitania_(Boyac%C3%A1)
Arcabuco,Ricaurte,155,5243,154201,https://es.wikipedia.org/wiki/Arcabuco
Belén,Tundama,284.6,7255,150640,https://es.wikipedia.org/wiki/Bel%C3%A9n_(Boyac%C3%A1)
Berbeo,Lengupá,61.7,1934,152610,https://es.wikipedia.org/wiki/Berbeo
Betéitiva,Valderrama,123,2024,150610,https://es.wikipedia.org/wiki/Bet%C3%A9itiva
Boavita,Norte,159,6914,151060,https://es.wikipedia.org/wiki/Boavita
Boyacá,Márquez,48,4414,153610,https://es.wikipedia.org/wiki/Boyac%C3%A1_(Boyac%C3%A1)
Briceño,Occidente,64,2568,154670,https://es.wikipedia.org/wiki/Brice%C3%B1o_(Boyac%C3%A1)
Buenavista,Occidente,111,5777,154840,https://es.wikipedia.org/wiki/Buenavista_(Boyac%C3%A1)
Busbanzá,Tundama,22.5,1192,152080,https://es.wikipedia.org/wiki/Busbanz%C3%A1
Caldas,Occidente,111,3596,154660,https://es.wikipedia.org/wiki/Caldas_(Boyac%C3%A1)
Campohermoso,Lengupá,302,3813,152640,https://es.wikipedia.org/wiki/Campohermoso_(Boyac%C3%A1)
Cerinza,Tundama,61.63,3714,150620,https://es.wikipedia.org/wiki/Cerinza
Chinavita,Neira,148,3499,153280,https://es.wikipedia.org/wiki/Chinavita
Chiquinquirá,Occidente,133,66203,154640,https://es.wikipedia.org/wiki/Chiquinquir%C3%A1
Chíquiza,Centro,71,5433,154020,https://es.wikipedia.org/wiki/Ch%C3%ADquiza
Chiscas,Gutiérrez,655.2,4200,151401,https://es.wikipedia.org/wiki/Chiscas
Chita,Valderrama,748,9407,151601,https://es.wikipedia.org/wiki/Chita_(Boyac%C3%A1)
Chitaraque,Ricaurte,157.65,5596,154420,https://es.wikipedia.org/wiki/Chitaraque
Chivatá,Centro,49,6315,150240,https://es.wikipedia.org/wiki/Chivat%C3%A1
Chivor,Oriente,103,1752,153001,https://es.wikipedia.org/wiki/Chivor
Ciénega,Márquez,73,4694,153440,https://es.wikipedia.org/wiki/Ci%C3%A9nega_(Boyac%C3%A1)
Cómbita,Centro,149,14812,150201,https://es.wikipedia.org/wiki/C%C3%B3mbita
Coper,Occidente,202,3610,154860,https://es.wikipedia.org/wiki/Coper
Corrales,Tundama,60.85,2251,152060,https://es.wikipedia.org/wiki/Corrales_(Boyac%C3%A1)
Covarachía,Norte,103,2825,151040,https://es.wikipedia.org/wiki/Covarach%C3%ADa
Cubará,Distrito fronterizo,1650,6730,151420,https://es.wikipedia.org/wiki/Cubar%C3%A1
Cucaita,Centro,43,4687,154060:,https://es.wikipedia.org/wiki/Cucaita
Cuítiva,Sugamuxi,43,1892,152230,https://es.wikipedia.org/wiki/Cu%C3%ADtiva
Duitama,Tundama,186,113105,150461 150462,https://es.wikipedia.org/wiki/Duitama
El Cocuy,Gutiérrez,253,5197,151280,https://es.wikipedia.org/wiki/El_Cocuy
El Espino,Gutiérrez,70,4205,151240,https://es.wikipedia.org/wiki/El_Espino_(Boyac%C3%A1)
Firavitoba,Sugamuxi,109.9,5864,152250,https://es.wikipedia.org/wiki/Firavitoba
Floresta,Tundama,85,4478,150601,https://es.wikipedia.org/wiki/Floresta_(Boyac%C3%A1)
Gachantivá,Ricaurte,66,2617,154220,https://es.wikipedia.org/wiki/Gachantiv%C3%A1
Gámeza,Sugamuxi,88,4776,152020,https://es.wikipedia.org/wiki/G%C3%A1meza
Garagoa,Neira,191.75,16974,152860,https://es.wikipedia.org/wiki/Garagoa
Guacamayas,Gutiérrez,59.83,1657,151220,https://es.wikipedia.org/wiki/Guacamayas
Guateque,Oriente,36.1,9552,153050,https://es.wikipedia.org/wiki/Guateque
Guayatá,Oriente,103,5013,153040,https://es.wikipedia.org/wiki/Guayat%C3%A1
Guican de la Sierra,Gutiérrez,917,6801,151440,https://es.wikipedia.org/wiki/G%C3%BCic%C3%A1n
Iza,Sugamuxi,54,2373,152240,https://es.wikipedia.org/wiki/Iza_(Boyac%C3%A1)
Jenesano,Márquez,59,7659,153601,https://es.wikipedia.org/wiki/Jenesano
Jericó,Valderrama,179,3956,150840,https://es.wikipedia.org/wiki/Jeric%C3%B3_(Boyac%C3%A1)
La Capilla,Oriente,57.26,2499,153220,https://es.wikipedia.org/wiki/La_Capilla_(Boyac%C3%A1)
La Uvita,Norte,176,2435,150860,https://es.wikipedia.org/wiki/La_Uvita
La Victoria,Occidente,110,1674,155001,https://es.wikipedia.org/wiki/La_Victoria_(Boyac%C3%A1)
Labranzagrande,La Libertad,625,5068,151840,https://es.wikipedia.org/wiki/Labranzagrande
Macanal,Neira,199.5,4827,152840,https://es.wikipedia.org/wiki/Macanal
Maripí,Occidente,160,7424,154820,https://es.wikipedia.org/wiki/Marip%C3%AD
Miraflores,Lengupá,258,9779,152660,https://es.wikipedia.org/wiki/Miraflores_(Boyac%C3%A1)
Mongua,Sugamuxi,365,4657,152001,https://es.wikipedia.org/wiki/Mongua
Monguí,Sugamuxi,69.6,4985,152201,https://es.wikipedia.org/wiki/Mongu%C3%AD
Moniquirá,Ricaurte,220,21345,154260,https://es.wikipedia.org/wiki/Moniquir%C3%A1
Motavita,Centro,61,8195,154080,https://es.wikipedia.org/wiki/Motavita
Muzo,Occidente,136,8914,154880,https://es.wikipedia.org/wiki/Muzo
Nobsa,Sugamuxi,53,16353,152280,https://es.wikipedia.org/wiki/Nobsa
Nuevo Colón,Márquez,51,6602,153620,https://es.wikipedia.org/wiki/Nuevo_Col%C3%B3n
Oicatá,Centro,59,2831,150220,https://es.wikipedia.org/wiki/Oicat%C3%A1
Otanche,Occidente,512,10671,155060,https://es.wikipedia.org/wiki/Otanche
Pachavita,Neira,68,2453,153210,https://es.wikipedia.org/wiki/Pachavita
Páez,Lengupá,443,2867,152620,https://es.wikipedia.org/wiki/P%C3%A1ez_(Boyac%C3%A1)
Paipa,Tundama,305,31021,150440,https://es.wikipedia.org/wiki/Paipa
Pajarito,La Libertad,322,1670,152401,https://es.wikipedia.org/wiki/Pajarito_(Boyac%C3%A1)
Panqueba,Gutiérrez,42,1452,151260,https://es.wikipedia.org/wiki/Panqueba
Pauna,Occidente,259,10797,154801,https://es.wikipedia.org/wiki/Pauna
Paya,La Libertad,435.5,2537,151820,https://es.wikipedia.org/wiki/Paya_(Boyac%C3%A1)
Paz del Río,Valderrama,116,4618,150680,https://es.wikipedia.org/wiki/Paz_de_R%C3%ADo
Pesca,Sugamuxi,282,7862,152460,https://es.wikipedia.org/wiki/Pesca_(Boyac%C3%A1)
Pisba,La Libertad,469.12,1323,151801,https://es.wikipedia.org/wiki/Pisba
Puerto Boyacá,Manejo especial,1472,55694,155201,https://es.wikipedia.org/wiki/Puerto_Boyac%C3%A1
Quípama,Occidente,182,7776,155020,https://es.wikipedia.org/wiki/Qu%C3%ADpama
Ramiriquí,Márquez,139,9926,153401,https://es.wikipedia.org/wiki/Ramiriqu%C3%AD
Ráquira,Ricaurte,231,13682,153801,https://es.wikipedia.org/wiki/R%C3%A1quira
Rondón,Márquez,258,2796,153420,https://es.wikipedia.org/wiki/Rond%C3%B3n_(Boyac%C3%A1)
Saboyá,Occidente,246,12309,154601,https://es.wikipedia.org/wiki/Saboy%C3%A1
Sáchica,Ricaurte,62.4,3780,153880,https://es.wikipedia.org/wiki/S%C3%A1chica
Samacá,Centro,160,20116,153660,https://es.wikipedia.org/wiki/Samac%C3%A1
San Eduardo,Lengupá,106,1867,152601,https://es.wikipedia.org/wiki/San_Eduardo_(Boyac%C3%A1)
San José de Pare,Ricaurte,73.85,5158,154460,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_Pare
San Luis de Gaceno,Neira,458.5,4996,152801,https://es.wikipedia.org/wiki/San_Luis_de_Gaceno
San Mateo,Norte,131,3582,151201,https://es.wikipedia.org/wiki/San_Mateo_(Boyac%C3%A1)
San Miguel de Sema,Occidente,90,4548,153820,https://es.wikipedia.org/wiki/San_Miguel_de_Sema
San Pablo de Borbur,Occidente,193.9,10478,155040,https://es.wikipedia.org/wiki/San_Pablo_de_Borbur
Santa María,Neira,326.44,3918,152820,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa_(Boyac%C3%A1)
Santa Rosa de Viterbo,Tundama,107,13407,150480,https://es.wikipedia.org/wiki/Santa_Rosa_de_Viterbo_(Boyac%C3%A1)
Santa Sofía,Ricaurte,78,2658,154240,https://es.wikipedia.org/wiki/Santa_Sof%C3%ADa_(Boyac%C3%A1)
Santana,Ricaurte,67,7671,154440,https://es.wikipedia.org/wiki/Santana_(Boyac%C3%A1)
Sativanorte,Norte,184,2306,150820,https://es.wikipedia.org/wiki/Sativanorte
Sativasur,Norte,81,1094,150801,https://es.wikipedia.org/wiki/Sativasur
Siachoque,Centro,125,8967,153460,https://es.wikipedia.org/wiki/Siachoque
Soatá,Norte,136,7069,151001,https://es.wikipedia.org/wiki/Soat%C3%A1
Socha,Valderrama,264,7092,151640,https://es.wikipedia.org/wiki/Socha
Socotá,Valderrama,600,7934,151620,https://es.wikipedia.org/wiki/Socot%C3%A1
Sogamoso,Sugamuxi,208.54,112790,152210 152211,https://es.wikipedia.org/wiki/Sogamoso
Somondoco,Oriente,58.7,3555,153030,https://es.wikipedia.org/wiki/Somondoco
Sora,Centro,47,3027,154040,https://es.wikipedia.org/wiki/Sora_(Boyac%C3%A1)
Soracá,Centro,57,5279,153480,https://es.wikipedia.org/wiki/Sorac%C3%A1
Sotaquirá,Centro,288,7578,150420,https://es.wikipedia.org/wiki/Sotaquir%C3%A1
Susacón,Norte,193,3027,150880,https://es.wikipedia.org/wiki/Susac%C3%B3n
Sutamarchán,Ricaurte,102,5890,153860,https://es.wikipedia.org/wiki/Sutamarch%C3%A1n
Sutatenza,Oriente,41.26,4033,153060,https://es.wikipedia.org/wiki/Sutatenza
Tasco,Valderrama,167,6296,151660,https://es.wikipedia.org/wiki/Tasco
Tenza,Oriente,51,4052,153201,https://es.wikipedia.org/wiki/Tenza
Tibaná,Márquez,121.76,9136,153260,https://es.wikipedia.org/wiki/Tiban%C3%A1
Tibasosa,Sugamuxi,94.3,14196,152260,https://es.wikipedia.org/wiki/Tibasosa
Tinjacá,Ricaurte,79.26,3039,153840,https://es.wikipedia.org/wiki/Tinjac%C3%A1
Tipacoque,Norte,72,3160,151020,https://es.wikipedia.org/wiki/Tipacoque
Toca,Centro,165,10106,150260,https://es.wikipedia.org/wiki/Toca
Togüí,Ricaurte,118,4931,154401,https://es.wikipedia.org/wiki/Tog%C3%BC%C3%AD
Tópaga,Sugamuxi,37,3694,152040,https://es.wikipedia.org/wiki/T%C3%B3paga
Tota,Sugamuxi,314,5348,152440,https://es.wikipedia.org/wiki/Tota
Tunja,Centro,118,191878,150001-150009,https://es.wikipedia.org/wiki/Tunja
Tununguá,Occidente,73,1861,154680,https://es.wikipedia.org/wiki/Tunungu%C3%A1
Turmequé,Márquez,106,6050,153630,https://es.wikipedia.org/wiki/Turmequ%C3%A9
Tuta,Centro,165,9734,150401,https://es.wikipedia.org/wiki/Tuta
Tutazá,Tundama,135,1854,150660,https://es.wikipedia.org/wiki/Tutaz%C3%A1
Úmbita,Márquez,148,10322,153240,https://es.wikipedia.org/wiki/%C3%9Ambita
Ventaquemada,Centro,159.3,15532,153640,https://es.wikipedia.org/wiki/Ventaquemada
Villa de Leyva,Ricaurte,128,16984,154001,https://es.wikipedia.org/wiki/Villa_de_Leyva
Viracachá,Márquez,64,3201,153450,https://es.wikipedia.org/wiki/Viracach%C3%A1
Zetaquira,Lengupá,226,4489,152680,https://es.wikipedia.org/wiki/Zetaquira